method_key,method_label,method_kind,repeat_index,iteration,carried_forward,motor_step_error
gpt_5_6_sol,GPT-5.6 SOL,llm,0,0,False,2186.2005854907275
gpt_5_6_sol,GPT-5.6 SOL,llm,0,1,False,1751.6486519847524
gpt_5_6_sol,GPT-5.6 SOL,llm,0,2,False,2058.415167064215
gpt_5_6_sol,GPT-5.6 SOL,llm,0,3,False,765.5540477327515
gpt_5_6_sol,GPT-5.6 SOL,llm,0,4,False,1258.59961862381
gpt_5_6_sol,GPT-5.6 SOL,llm,0,5,False,2253.901728115048
gpt_5_6_sol,GPT-5.6 SOL,llm,0,6,False,1759.5661397060355
gpt_5_6_sol,GPT-5.6 SOL,llm,0,7,False,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,8,False,1764.469608692652
gpt_5_6_sol,GPT-5.6 SOL,llm,0,9,False,1438.802627186926
gpt_5_6_sol,GPT-5.6 SOL,llm,0,10,False,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,11,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,12,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,13,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,14,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,15,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,16,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,17,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,18,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,19,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,20,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,21,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,22,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,23,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,24,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,25,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,26,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,27,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,28,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,29,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,30,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,31,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,32,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,33,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,34,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,35,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,36,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,37,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,38,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,39,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,40,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,41,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,42,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,43,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,44,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,45,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,46,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,47,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,48,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,49,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,0,50,True,178.1937148162078
gpt_5_6_sol,GPT-5.6 SOL,llm,1,0,False,3375.000148148145
gpt_5_6_sol,GPT-5.6 SOL,llm,1,1,False,4865.760577751437
gpt_5_6_sol,GPT-5.6 SOL,llm,1,2,False,1417.9654438666691
gpt_5_6_sol,GPT-5.6 SOL,llm,1,3,False,2201.278265008765
gpt_5_6_sol,GPT-5.6 SOL,llm,1,4,False,2397.6292457342106
gpt_5_6_sol,GPT-5.6 SOL,llm,1,5,False,137.20787149431334
gpt_5_6_sol,GPT-5.6 SOL,llm,1,6,False,1498.2743406999934
gpt_5_6_sol,GPT-5.6 SOL,llm,1,7,False,1308.7497851002688
gpt_5_6_sol,GPT-5.6 SOL,llm,1,8,False,902.677129432224
gpt_5_6_sol,GPT-5.6 SOL,llm,1,9,False,1100.3753904918085
gpt_5_6_sol,GPT-5.6 SOL,llm,1,10,False,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,11,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,12,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,13,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,14,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,15,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,16,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,17,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,18,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,19,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,20,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,21,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,22,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,23,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,24,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,25,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,26,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,27,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,28,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,29,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,30,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,31,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,32,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,33,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,34,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,35,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,36,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,37,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,38,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,39,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,40,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,41,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,42,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,43,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,44,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,45,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,46,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,47,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,48,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,49,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,1,50,True,122.09013064126027
gpt_5_6_sol,GPT-5.6 SOL,llm,2,0,False,1979.1071219112926
gpt_5_6_sol,GPT-5.6 SOL,llm,2,1,False,876.3931766051126
gpt_5_6_sol,GPT-5.6 SOL,llm,2,2,False,706.5868665634821
gpt_5_6_sol,GPT-5.6 SOL,llm,2,3,False,3548.9808396214257
gpt_5_6_sol,GPT-5.6 SOL,llm,2,4,False,2539.9340542620394
gpt_5_6_sol,GPT-5.6 SOL,llm,2,5,False,2152.6414006982213
gpt_5_6_sol,GPT-5.6 SOL,llm,2,6,False,1570.2754535431036
