series,repeat_index,evaluation,best_error
gpt_simulation,0,0,2186.2005854907275
gpt_simulation,0,1,1751.6486519847524
gpt_simulation,0,2,1751.6486519847524
gpt_simulation,0,3,765.5540477327515
gpt_simulation,0,4,765.5540477327515
gpt_simulation,0,5,765.5540477327515
gpt_simulation,0,6,765.5540477327515
gpt_simulation,0,7,178.1937148162078
gpt_simulation,0,8,178.1937148162078
gpt_simulation,0,9,178.1937148162078
gpt_simulation,0,10,178.1937148162078
gpt_simulation,0,11,178.1937148162078
gpt_simulation,0,12,178.1937148162078
gpt_simulation,0,13,178.1937148162078
gpt_simulation,0,14,178.1937148162078
gpt_simulation,0,15,178.1937148162078
gpt_simulation,0,16,178.1937148162078
gpt_simulation,0,17,178.1937148162078
gpt_simulation,0,18,178.1937148162078
gpt_simulation,0,19,178.1937148162078
gpt_simulation,0,20,178.1937148162078
gpt_simulation,0,21,178.1937148162078
gpt_simulation,0,22,178.1937148162078
gpt_simulation,0,23,178.1937148162078
gpt_simulation,0,24,178.1937148162078
gpt_simulation,0,25,178.1937148162078
gpt_simulation,0,26,178.1937148162078
gpt_simulation,0,27,178.1937148162078
gpt_simulation,0,28,178.1937148162078
gpt_simulation,0,29,178.1937148162078
gpt_simulation,0,30,178.1937148162078
gpt_simulation,0,31,178.1937148162078
gpt_simulation,0,32,178.1937148162078
gpt_simulation,0,33,178.1937148162078
gpt_simulation,0,34,178.1937148162078
gpt_simulation,0,35,178.1937148162078
gpt_simulation,0,36,178.1937148162078
gpt_simulation,0,37,178.1937148162078
gpt_simulation,0,38,178.1937148162078
gpt_simulation,0,39,178.1937148162078
gpt_simulation,0,40,178.1937148162078
gpt_simulation,0,41,178.1937148162078
gpt_simulation,0,42,178.1937148162078
gpt_simulation,0,43,178.1937148162078
gpt_simulation,0,44,178.1937148162078
gpt_simulation,0,45,178.1937148162078
gpt_simulation,0,46,178.1937148162078
gpt_simulation,0,47,178.1937148162078
gpt_simulation,0,48,178.1937148162078
gpt_simulation,0,49,178.1937148162078
gpt_simulation,0,50,178.1937148162078
gpt_simulation,1,0,3375.000148148145
gpt_simulation,1,1,3375.000148148145
gpt_simulation,1,2,1417.9654438666691
gpt_simulation,1,3,1417.9654438666691
gpt_simulation,1,4,1417.9654438666691
gpt_simulation,1,5,137.20787149431334
gpt_simulation,1,6,137.20787149431334
gpt_simulation,1,7,137.20787149431334
gpt_simulation,1,8,137.20787149431334
gpt_simulation,1,9,137.20787149431334
gpt_simulation,1,10,122.09013064126027
gpt_simulation,1,11,122.09013064126027
gpt_simulation,1,12,122.09013064126027
gpt_simulation,1,13,122.09013064126027
gpt_simulation,1,14,122.09013064126027
gpt_simulation,1,15,122.09013064126027
gpt_simulation,1,16,122.09013064126027
gpt_simulation,1,17,122.09013064126027
gpt_simulation,1,18,122.09013064126027
gpt_simulation,1,19,122.09013064126027
gpt_simulation,1,20,122.09013064126027
gpt_simulation,1,21,122.09013064126027
gpt_simulation,1,22,122.09013064126027
gpt_simulation,1,23,122.09013064126027
gpt_simulation,1,24,122.09013064126027
gpt_simulation,1,25,122.09013064126027
gpt_simulation,1,26,122.09013064126027
gpt_simulation,1,27,122.09013064126027
gpt_simulation,1,28,122.09013064126027
gpt_simulation,1,29,122.09013064126027
gpt_simulation,1,30,122.09013064126027
gpt_simulation,1,31,122.09013064126027
gpt_simulation,1,32,122.09013064126027
gpt_simulation,1,33,122.09013064126027
gpt_simulation,1,34,122.09013064126027
gpt_simulation,1,35,122.09013064126027
gpt_simulation,1,36,122.09013064126027
gpt_simulation,1,37,122.09013064126027
gpt_simulation,1,38,122.09013064126027
gpt_simulation,1,39,122.09013064126027
gpt_simulation,1,40,122.09013064126027
gpt_simulation,1,41,122.09013064126027
gpt_simulation,1,42,122.09013064126027
gpt_simulation,1,43,122.09013064126027
gpt_simulation,1,44,122.09013064126027
gpt_simulation,1,45,122.09013064126027
gpt_simulation,1,46,122.09013064126027
gpt_simulation,1,47,122.09013064126027
gpt_simulation,1,48,122.09013064126027
gpt_simulation,1,49,122.09013064126027
gpt_simulation,1,50,122.09013064126027
gpt_simulation,2,0,1979.1071219112926
gpt_simulation,2,1,876.3931766051126
gpt_simulation,2,2,706.5868665634821
gpt_simulation,2,3,706.5868665634821
gpt_simulation,2,4,706.5868665634821
gpt_simulation,2,5,706.5868665634821
gpt_simulation,2,6,706.5868665634821
gpt_simulation,2,7,706.5868665634821
gpt_simulation,2,8,706.5868665634821
gpt_simulation,2,9,706.5868665634821
gpt_simulation,2,10,271.0073799733136
gpt_simulation,2,11,271.0073799733136
gpt_simulation,2,12,271.0073799733136
gpt_simulation,2,13,271.0073799733136
gpt_simulation,2,14,271.0073799733136
gpt_simulation,2,15,271.0073799733136
gpt_simulation,2,16,271.0073799733136
gpt_simulation,2,17,271.0073799733136
gpt_simulation,2,18,271.0073799733136
gpt_simulation,2,19,271.0073799733136
gpt_simulation,2,20,271.0073799733136
gpt_simulation,2,21,271.0073799733136
gpt_simulation,2,22,271.0073799733136
gpt_simulation,2,23,271.0073799733136
gpt_simulation,2,24,271.0073799733136
gpt_simulation,2,25,271.0073799733136
gpt_simulation,2,26,271.0073799733136
gpt_simulation,2,27,271.0073799733136
gpt_simulation,2,28,271.0073799733136
gpt_simulation,2,29,271.0073799733136
gpt_simulation,2,30,271.0073799733136
gpt_simulation,2,31,271.0073799733136
gpt_simulation,2,32,271.0073799733136
gpt_simulation,2,33,271.0073799733136
gpt_simulation,2,34,271.0073799733136
gpt_simulation,2,35,271.0073799733136
gpt_simulation,2,36,271.0073799733136
gpt_simulation,2,37,271.0073799733136
gpt_simulation,2,38,271.0073799733136
gpt_simulation,2,39,271.0073799733136
gpt_simulation,2,40,271.0073799733136
gpt_simulation,2,41,271.0073799733136
gpt_simulation,2,42,271.0073799733136
gpt_simulation,2,43,271.0073799733136
gpt_simulation,2,44,271.0073799733136
gpt_simulation,2,45,271.0073799733136
gpt_simulation,2,46,271.0073799733136
gpt_simulation,2,47,271.0073799733136
gpt_simulation,2,48,271.0073799733136
gpt_simulation,2,49,271.0073799733136
gpt_simulation,2,50,271.0073799733136
gpt_simulation,3,0,2313.4757400932476
gpt_simulation,3,1,2313.4757400932476
gpt_simulation,3,2,1748.190493052745
gpt_simulation,3,3,1748.190493052745
gpt_simulation,3,4,1748.190493052745
gpt_simulation,3,5,98.84331034521254
gpt_simulation,3,6,98.84331034521254
gpt_simulation,3,7,98.84331034521254
gpt_simulation,3,8,98.84331034521254
gpt_simulation,3,9,98.84331034521254
gpt_simulation,3,10,98.84331034521254
gpt_simulation,3,11,98.84331034521254
gpt_simulation,3,12,98.84331034521254
gpt_simulation,3,13,98.84331034521254
gpt_simulation,3,14,98.84331034521254
gpt_simulation,3,15,98.84331034521254
gpt_simulation,3,16,98.84331034521254
gpt_simulation,3,17,98.84331034521254
gpt_simulation,3,18,98.84331034521254
gpt_simulation,3,19,98.84331034521254
gpt_simulation,3,20,98.84331034521254
gpt_simulation,3,21,98.84331034521254
gpt_simulation,3,22,98.84331034521254
gpt_simulation,3,23,98.84331034521254
gpt_simulation,3,24,98.84331034521254
gpt_simulation,3,25,98.84331034521254
gpt_simulation,3,26,98.84331034521254
gpt_simulation,3,27,98.84331034521254
gpt_simulation,3,28,98.84331034521254
gpt_simulation,3,29,98.84331034521254
gpt_simulation,3,30,98.84331034521254
gpt_simulation,3,31,98.84331034521254
gpt_simulation,3,32,98.84331034521254
gpt_simulation,3,33,98.84331034521254
gpt_simulation,3,34,98.84331034521254
gpt_simulation,3,35,98.84331034521254
gpt_simulation,3,36,98.84331034521254
gpt_simulation,3,37,98.84331034521254
gpt_simulation,3,38,98.84331034521254
gpt_simulation,3,39,98.84331034521254
gpt_simulation,3,40,98.84331034521254
gpt_simulation,3,41,98.84331034521254
gpt_simulation,3,42,98.84331034521254
gpt_simulation,3,43,98.84331034521254
gpt_simulation,3,44,98.84331034521254
gpt_simulation,3,45,98.84331034521254
gpt_simulation,3,46,98.84331034521254
gpt_simulation,3,47,98.84331034521254
gpt_simulation,3,48,98.84331034521254
gpt_simulation,3,49,98.84331034521254
gpt_simulation,3,50,98.84331034521254
gpt_simulation,4,0,3626.1683634381898
gpt_simulation,4,1,2234.3001141297023
gpt_simulation,4,2,1859.8647800310646
gpt_simulation,4,3,1859.8647800310646
gpt_simulation,4,4,1859.8647800310646
gpt_simulation,4,5,104.10091258005379
gpt_simulation,4,6,104.10091258005379
gpt_simulation,4,7,104.10091258005379
gpt_simulation,4,8,104.10091258005379
gpt_simulation,4,9,104.10091258005379
gpt_simulation,4,10,104.10091258005379
gpt_simulation,4,11,104.10091258005379
gpt_simulation,4,12,104.10091258005379
gpt_simulation,4,13,104.10091258005379
gpt_simulation,4,14,104.10091258005379
gpt_simulation,4,15,104.10091258005379
gpt_simulation,4,16,104.10091258005379
gpt_simulation,4,17,104.10091258005379
gpt_simulation,4,18,104.10091258005379
gpt_simulation,4,19,104.10091258005379
gpt_simulation,4,20,104.10091258005379
gpt_simulation,4,21,104.10091258005379
gpt_simulation,4,22,104.10091258005379
gpt_simulation,4,23,104.10091258005379
gpt_simulation,4,24,104.10091258005379
gpt_simulation,4,25,104.10091258005379
gpt_simulation,4,26,104.10091258005379
gpt_simulation,4,27,104.10091258005379
gpt_simulation,4,28,104.10091258005379
gpt_simulation,4,29,104.10091258005379
gpt_simulation,4,30,104.10091258005379
gpt_simulation,4,31,104.10091258005379
gpt_simulation,4,32,104.10091258005379
gpt_simulation,4,33,104.10091258005379
gpt_simulation,4,34,104.10091258005379
gpt_simulation,4,35,104.10091258005379
gpt_simulation,4,36,104.10091258005379
gpt_simulation,4,37,104.10091258005379
gpt_simulation,4,38,104.10091258005379
gpt_simulation,4,39,104.10091258005379
gpt_simulation,4,40,104.10091258005379
gpt_simulation,4,41,104.10091258005379
gpt_simulation,4,42,104.10091258005379
gpt_simulation,4,43,104.10091258005379
gpt_simulation,4,44,104.10091258005379
