method_key,method_label,method_kind,repeat_index,iteration,carried_forward,center_error
gpt_5_6_sol,GPT-5.6 SOL,llm,0,0,False,0.9826985040814875
gpt_5_6_sol,GPT-5.6 SOL,llm,0,1,False,1.0700834893328386
gpt_5_6_sol,GPT-5.6 SOL,llm,0,2,False,0.9190927330365098
gpt_5_6_sol,GPT-5.6 SOL,llm,0,3,False,0.8613449331689539
gpt_5_6_sol,GPT-5.6 SOL,llm,0,4,False,0.6255142854000856
gpt_5_6_sol,GPT-5.6 SOL,llm,0,5,False,0.6319697754013476
gpt_5_6_sol,GPT-5.6 SOL,llm,0,6,False,0.6432022570153394
gpt_5_6_sol,GPT-5.6 SOL,llm,0,7,False,0.6400454808087475
gpt_5_6_sol,GPT-5.6 SOL,llm,0,8,False,0.4477375179075039
gpt_5_6_sol,GPT-5.6 SOL,llm,0,9,False,0.12608954136633352
gpt_5_6_sol,GPT-5.6 SOL,llm,0,10,False,0.28173593122278945
gpt_5_6_sol,GPT-5.6 SOL,llm,0,11,False,0.2282808769954692
gpt_5_6_sol,GPT-5.6 SOL,llm,0,12,False,0.5420492650261606
gpt_5_6_sol,GPT-5.6 SOL,llm,0,13,False,0.38506288347998346
gpt_5_6_sol,GPT-5.6 SOL,llm,0,14,False,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,15,False,0.20047725499369742
gpt_5_6_sol,GPT-5.6 SOL,llm,0,16,False,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,17,False,0.2816567802083994
gpt_5_6_sol,GPT-5.6 SOL,llm,0,18,False,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,19,False,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,20,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,21,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,22,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,23,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,24,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,25,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,26,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,27,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,28,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,29,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,30,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,31,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,32,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,33,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,34,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,35,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,36,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,37,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,38,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,39,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,40,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,41,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,42,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,43,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,44,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,45,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,46,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,47,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,48,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,49,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,50,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,51,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,52,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,53,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,54,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,55,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,56,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,57,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,58,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,59,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,0,60,True,0.017358493607613493
gpt_5_6_sol,GPT-5.6 SOL,llm,1,0,False,0.7746487613826347
gpt_5_6_sol,GPT-5.6 SOL,llm,1,1,False,0.7893611071099844
gpt_5_6_sol,GPT-5.6 SOL,llm,1,2,False,0.7712731018596949
gpt_5_6_sol,GPT-5.6 SOL,llm,1,3,False,0.8467969826062447
gpt_5_6_sol,GPT-5.6 SOL,llm,1,4,False,0.7109178926721503
gpt_5_6_sol,GPT-5.6 SOL,llm,1,5,False,0.7056959373009366
gpt_5_6_sol,GPT-5.6 SOL,llm,1,6,False,0.7361739389730171
gpt_5_6_sol,GPT-5.6 SOL,llm,1,7,False,0.5956017295768199
gpt_5_6_sol,GPT-5.6 SOL,llm,1,8,False,0.29900798003857887
gpt_5_6_sol,GPT-5.6 SOL,llm,1,9,False,0.3992855122276531
gpt_5_6_sol,GPT-5.6 SOL,llm,1,10,False,0.3584247091464973
gpt_5_6_sol,GPT-5.6 SOL,llm,1,11,False,0.25493471640157445
gpt_5_6_sol,GPT-5.6 SOL,llm,1,12,False,0.38597420202229993
gpt_5_6_sol,GPT-5.6 SOL,llm,1,13,False,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,14,False,0.17969962553677432
gpt_5_6_sol,GPT-5.6 SOL,llm,1,15,False,0.3538184043129426
gpt_5_6_sol,GPT-5.6 SOL,llm,1,16,False,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,17,False,0.29600790899324053
gpt_5_6_sol,GPT-5.6 SOL,llm,1,18,False,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,19,False,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,20,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,21,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,22,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,23,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,24,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,25,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,26,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,27,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,28,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,29,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,30,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,31,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,32,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,33,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,34,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,35,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,36,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,37,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,38,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,39,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,40,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,41,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,42,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,43,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,44,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,45,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,46,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,47,True,0.04374895851469926
gpt_5_6_sol,GPT-5.6 SOL,llm,1,48,True,0.04374895851469926
